age,income_annual,monthly_expenses,cash_savings,total_assets,total_debt,risk_tolerance,knowledge_level,goal_years,target_amount,label
37,12000.0,500.0,0.0,134075.91,64871.71,moderate,intermediate,27,455956.36,capital_preservation
37,119852.26,5446.98,73454.27,121910.5,81921.74,moderate,beginner,10,664631.76,income_focus
57,79802.55,2654.35,36502.68,197733.71,51673.08,low,advanced,22,718791.48,income_focus
23,56937.97,2637.68,0.0,279815.39,34476.22,low,intermediate,27,10000.0,capital_preservation
30,120812.74,5609.81,36464.34,22051.58,41355.11,moderate,intermediate,15,1127279.91,capital_preservation
52,67244.22,526.99,23252.07,202324.31,0.0,high,beginner,5,275986.6,income_focus
68,12000.0,950.0,21846.38,0.0,0.0,moderate,beginner,26,10000.0,income_focus
24,31899.96,2427.57,0.0,96324.43,33783.4,high,beginner,13,1282033.28,capital_preservation
44,138568.61,5438.45,20623.3,205183.18,0.0,low,beginner,14,1219700.37,income_focus
66,79428.58,4530.91,0.0,0.0,62861.75,moderate,intermediate,7,2394621.11,capital_preservation
30,114604.96,8505.62,23306.13,76161.51,57223.59,low,intermediate,3,225702.24,capital_preservation
42,99707.96,3691.21,47825.25,136464.52,24782.53,high,intermediate,28,1264470.4,growth_aggressive
18,105977.99,4405.87,13816.87,109726.2,26933.79,moderate,beginner,25,10000.0,income_focus
33,67914.11,3565.07,0.0,261306.89,73595.34,moderate,intermediate,10,1621840.8,capital_preservation
50,12762.79,555.8,12304.06,85873.22,11557.43,high,advanced,25,1919525.43,growth_aggressive
57,70715.27,3043.54,0.0,117374.86,74700.65,low,intermediate,15,313132.39,capital_preservation
28,151482.71,6291.89,49425.99,2677.9,127511.65,low,intermediate,27,1431659.88,capital_preservation
63,138213.88,5946.02,29451.73,148322.15,25148.8,moderate,advanced,29,1488811.11,balanced_long_term
52,108093.99,4451.69,82766.79,0.0,88270.39,low,beginner,19,2671955.21,capital_preservation
39,128701.26,5932.43,26744.66,167922.82,60666.66,low,intermediate,13,316417.28,income_focus
26,126451.78,6581.3,50250.42,157166.3,7098.56,low,beginner,13,1177711.46,income_focus
19,65200.55,500.0,0.0,232301.71,0.0,low,intermediate,15,2079029.11,capital_preservation
55,98051.82,7284.98,62423.96,110289.85,10589.33,low,intermediate,19,921081.9,income_focus
56,151023.16,6784.84,95245.52,237423.84,124270.84,moderate,intermediate,23,456541.71,balanced_long_term
54,105686.77,6030.24,27428.1,4162.95,0.0,low,intermediate,11,1082114.02,income_focus
38,84396.29,1155.67,16330.06,107058.55,113378.65,high,beginner,6,2279389.51,capital_preservation
38,110349.09,5195.17,35835.86,258836.78,6242.73,moderate,beginner,9,1246275.98,income_focus
38,57266.81,2597.51,0.0,0.0,5898.79,moderate,intermediate,8,137435.88,capital_preservation
23,31833.44,779.48,0.0,206767.77,24353.3,moderate,beginner,24,10000.0,capital_preservation
65,174888.14,8174.52,45419.86,328107.61,97035.06,moderate,beginner,22,1157718.47,income_focus
21,144041.14,6223.68,0.0,63900.04,0.0,high,advanced,27,681652.97,capital_preservation
36,138933.39,6163.31,0.0,282473.88,70841.1,moderate,intermediate,14,126378.93,capital_preservation
69,41825.75,2816.08,0.0,0.0,75293.76,high,beginner,4,1177716.54,capital_preservation
56,146373.26,6424.78,0.0,123171.09,73278.31,low,beginner,8,456743.11,capital_preservation
50,68553.87,1490.96,1429.19,15397.54,54855.18,high,beginner,28,705970.15,capital_preservation
58,48254.12,835.45,0.0,0.0,0.0,low,beginner,5,10000.0,capital_preservation
54,75102.89,3852.03,18452.25,0.0,0.0,low,intermediate,8,10000.0,income_focus
63,138532.99,6165.8,48388.31,123431.2,43711.9,moderate,beginner,2,1707074.35,income_focus
26,64501.25,1292.58,0.0,75891.35,0.0,high,beginner,6,1240637.23,capital_preservation
30,155999.57,5868.87,37626.52,369922.13,105181.44,low,beginner,27,2018590.82,income_focus
30,93786.84,4037.34,13851.69,175266.54,22730.43,low,beginner,9,491446.35,income_focus
44,216141.01,7774.08,62135.57,232988.7,98745.46,moderate,intermediate,12,1881629.93,balanced_long_term
38,135942.35,3417.53,73746.9,248920.99,90693.56,low,intermediate,27,1109453.72,income_focus
49,97738.09,5781.08,0.0,263465.42,34539.61,moderate,intermediate,4,1377286.5,capital_preservation
26,64261.24,3723.38,0.0,102806.81,17724.68,moderate,beginner,22,479396.08,capital_preservation
67,142279.72,7164.71,25929.18,185046.02,0.0,moderate,advanced,27,1563847.35,balanced_long_term
60,192412.83,7498.76,45536.66,504413.77,115000.08,low,beginner,27,1001499.52,income_focus
23,53559.38,2347.62,0.0,96553.88,36746.61,moderate,beginner,9,1741398.9,capital_preservation
33,52329.32,2061.71,0.0,0.0,0.0,moderate,beginner,20,1480160.24,capital_preservation
60,96157.64,4237.55,45865.83,80059.1,0.0,high,intermediate,26,1133818.9,growth_aggressive
33,103459.54,4182.97,85230.05,0.0,44356.17,high,intermediate,7,1106064.61,balanced_long_term
37,95657.18,6667.78,12578.34,174662.71,74476.88,high,intermediate,22,10000.0,capital_preservation
68,79907.42,2447.2,23141.77,49819.49,6830.55,low,beginner,17,1785486.46,income_focus
27,55178.44,4368.29,41978.48,94480.13,0.0,moderate,intermediate,4,1028142.42,balanced_short_term
39,83612.54,3574.99,0.0,63437.52,65849.35,moderate,beginner,26,385184.55,capital_preservation
58,67511.51,4867.15,29542.46,0.0,50478.15,high,beginner,8,1235364.27,capital_preservation
28,125178.51,4807.94,15820.96,109003.26,21186.93,low,intermediate,9,2282457.97,income_focus
41,38617.73,1854.48,0.0,0.0,0.0,low,beginner,18,891786.72,capital_preservation
40,122895.71,4531.42,100963.15,130177.44,45894.21,moderate,beginner,3,1839625.51,income_focus
55,24393.89,1370.85,0.0,212073.46,40905.65,moderate,beginner,27,262438.02,capital_preservation
35,139579.77,7728.41,0.0,245555.93,89473.53,low,beginner,15,1205381.8,capital_preservation
37,12000.0,500.0,0.0,231.31,0.0,low,intermediate,23,1331840.95,capital_preservation
38,66565.8,3161.76,0.0,157092.91,23275.51,moderate,intermediate,19,10000.0,capital_preservation
59,97321.17,4452.01,28584.72,90526.51,60636.56,high,intermediate,7,804378.66,balanced_long_term
55,119615.63,6948.46,46017.87,73866.35,68817.25,moderate,advanced,25,342917.56,balanced_long_term
65,118627.24,5505.97,1723.62,227694.82,64666.0,moderate,intermediate,27,805970.57,capital_preservation
53,44468.85,1333.37,11391.85,172177.76,0.0,moderate,beginner,22,1024521.42,income_focus
69,67695.25,3896.35,885.24,129296.71,11719.82,low,beginner,17,481049.73,capital_preservation
59,131968.45,6520.61,0.0,276626.85,2804.53,low,intermediate,1,1217414.11,capital_preservation
24,75593.55,4278.93,9628.93,141658.71,61335.12,moderate,intermediate,1,104225.89,capital_preservation
67,12000.0,950.0,48222.86,189039.47,0.0,low,beginner,28,657392.51,income_focus
36,12000.0,870.08,0.0,41956.2,0.0,moderate,beginner,1,412615.1,capital_preservation
50,12000.0,500.0,0.0,0.0,22320.75,low,intermediate,18,584070.7,capital_preservation
40,112132.16,4983.36,43510.67,28888.81,40541.06,moderate,advanced,6,1326593.75,balanced_long_term
30,107941.93,5609.57,0.0,304749.58,0.0,moderate,intermediate,29,762034.96,capital_preservation
52,35781.83,2832.73,0.0,189151.68,10319.56,low,advanced,22,237081.74,capital_preservation
19,117959.25,3343.47,19400.01,73356.6,93026.14,low,advanced,11,975028.95,capital_preservation
28,54522.66,1537.01,0.0,93163.22,0.0,high,beginner,25,10000.0,capital_preservation
52,44090.37,975.35,61046.67,72904.94,25246.47,low,intermediate,20,1161476.97,income_focus
34,125862.83,4325.48,24306.55,118468.05,50624.82,moderate,beginner,25,822902.43,income_focus
27,106829.22,5182.41,24491.96,108588.84,69251.99,moderate,beginner,20,1078517.52,income_focus
53,24683.97,1954.15,0.0,63098.73,71642.7,moderate,beginner,18,579662.9,capital_preservation
18,73657.17,2432.78,11167.4,134291.5,0.0,moderate,beginner,11,1293043.77,income_focus
61,95424.72,5531.84,26052.87,190178.39,45552.15,moderate,advanced,28,2660614.46,balanced_long_term
56,55035.5,3043.27,20055.24,0.0,64169.56,low,beginner,2,1891588.09,capital_preservation
44,28095.61,2224.24,23493.84,40919.88,73442.22,low,intermediate,10,504774.91,capital_preservation
46,106447.13,4896.44,6862.12,175262.28,34464.55,high,beginner,13,1423865.03,capital_preservation
39,94243.47,3745.79,56267.03,82149.03,59364.58,low,beginner,25,1552627.4,income_focus
55,129844.97,4758.79,39826.06,305484.22,71847.24,moderate,beginner,20,10000.0,income_focus
23,114719.92,5855.5,31236.4,37325.03,70826.66,moderate,beginner,25,3143078.82,capital_preservation
53,87420.34,4706.5,9533.59,0.0,6488.35,moderate,advanced,22,2291769.96,capital_preservation
45,102085.94,4308.11,21199.71,268874.99,34436.59,high,beginner,5,743385.33,income_focus
67,12000.0,500.0,4412.42,0.0,2821.01,moderate,beginner,4,313656.51,income_focus
35,102417.64,3309.73,29565.61,276315.33,66929.09,moderate,intermediate,3,527991.64,balanced_short_term
19,93779.68,5053.52,26741.77,238921.19,36606.59,high,beginner,23,396605.03,income_focus
43,154457.18,7387.28,0.0,146027.43,84934.98,moderate,intermediate,3,2050661.4,capital_preservation
45,49083.1,2503.31,22032.15,133185.81,53628.61,low,beginner,25,805593.06,income_focus
20,89839.04,4375.74,41773.25,201376.04,33212.34,moderate,beginner,26,978986.66,income_focus
20,184293.64,7818.26,56630.64,404655.91,68422.85,high,intermediate,5,1243066.92,balanced_short_term
48,69181.39,3469.53,38452.95,142063.46,74578.08,low,advanced,25,3027988.83,income_focus
36,52623.33,1578.79,0.0,191323.32,3843.07,moderate,beginner,17,1548619.31,capital_preservation
37,36599.25,1946.62,24173.79,94802.75,0.0,moderate,beginner,4,608846.02,income_focus
55,143552.13,7339.58,51012.87,364993.56,162749.21,high,advanced,4,537868.69,balanced_short_term
34,36508.75,1313.73,0.0,94968.21,14846.0,moderate,beginner,11,1452255.14,capital_preservation
24,180451.45,8552.01,0.0,150392.09,0.0,high,beginner,19,648680.73,capital_preservation
66,109704.23,5899.43,4149.22,44658.96,39868.7,moderate,beginner,11,864769.73,capital_preservation
33,75318.29,2476.02,5341.19,91754.33,29993.4,moderate,advanced,19,779239.21,capital_preservation
24,104694.51,5531.51,15318.62,251888.98,75826.49,moderate,beginner,27,350187.9,capital_preservation
19,85507.5,3801.41,5145.3,0.0,33634.8,moderate,intermediate,4,404467.34,capital_preservation
45,95543.43,4560.18,38367.91,405618.79,44531.78,moderate,beginner,26,34819.42,income_focus
54,43443.41,738.42,9883.38,54342.03,0.0,low,advanced,21,395504.79,income_focus
48,127416.71,6430.69,16341.21,1265.03,14810.92,low,intermediate,18,222563.52,capital_preservation
34,115381.51,2430.8,54690.03,31178.2,53663.35,moderate,intermediate,22,1413193.29,balanced_long_term
50,49684.93,2443.07,7546.74,131840.69,48964.39,low,intermediate,29,10000.0,income_focus
50,103736.57,3446.06,41716.01,264612.05,41382.48,high,beginner,27,2414641.87,income_focus
24,12000.0,950.0,3333.89,150592.86,15278.35,moderate,intermediate,17,1523116.23,balanced_long_term
61,128695.29,4002.13,43340.36,330020.62,93151.38,low,intermediate,11,1695806.8,income_focus
69,51249.92,1740.07,5159.5,18048.22,0.0,low,intermediate,26,1277018.54,capital_preservation
32,172092.15,7903.61,75298.76,289508.68,93288.55,low,beginner,24,1041954.51,income_focus
23,101484.98,4305.45,35495.8,420353.82,24703.87,moderate,beginner,20,1855189.96,income_focus
57,12000.0,950.0,0.0,194392.47,10978.95,moderate,intermediate,8,10000.0,capital_preservation
40,83487.85,3236.68,22988.49,457324.07,62601.77,moderate,beginner,5,2109596.61,income_focus
35,12000.0,500.0,23293.39,0.0,0.0,low,beginner,22,1562092.76,income_focus
49,112972.06,5133.19,33181.92,27235.94,0.0,moderate,beginner,18,1906948.43,income_focus
45,155649.93,5936.33,30105.86,291115.01,155753.66,low,beginner,28,709159.03,income_focus
25,120500.85,4202.16,24164.3,166977.93,105891.78,high,intermediate,2,1378333.49,balanced_short_term
20,86918.4,3879.71,14887.0,225218.46,0.0,low,intermediate,21,539436.42,income_focus
21,115084.99,6622.44,27646.37,0.0,68518.54,low,intermediate,18,334402.13,capital_preservation
61,65114.05,2764.44,173.31,168315.47,4947.14,moderate,intermediate,17,476832.1,capital_preservation
59,110919.32,4044.67,0.0,201266.96,24638.26,high,intermediate,19,324224.48,capital_preservation
38,12000.0,500.0,30749.24,180811.58,0.0,low,beginner,18,10000.0,income_focus
19,72367.0,5176.69,7198.5,120662.91,70680.02,moderate,advanced,21,987372.46,capital_preservation
69,16501.03,1306.33,0.0,37048.23,0.0,high,beginner,7,10000.0,capital_preservation
64,97438.65,5660.59,21116.26,154571.55,56950.49,moderate,beginner,28,1614507.32,income_focus
53,68075.31,2570.42,36242.97,200405.47,2422.87,low,advanced,15,379311.82,income_focus
20,89031.67,5275.74,7142.95,0.0,0.0,low,intermediate,16,884041.93,capital_preservation
19,53376.03,1517.5,2331.31,238764.56,45159.51,moderate,advanced,7,675075.51,capital_preservation
68,111287.61,4011.54,28733.92,0.0,47419.21,moderate,beginner,27,2362395.25,capital_preservation
65,94784.82,4301.31,21188.76,128458.57,37458.89,moderate,beginner,17,998312.32,income_focus
20,53420.49,3367.59,0.0,211009.92,107122.81,moderate,advanced,29,588945.3,capital_preservation
46,109888.46,5335.25,52688.82,222967.1,87169.97,moderate,intermediate,21,1269097.06,balanced_long_term
53,71179.28,2540.63,60464.01,132713.48,57107.97,low,intermediate,18,1008237.17,income_focus
42,109985.8,2987.25,22115.34,378853.96,29943.16,high,beginner,24,1511794.38,income_focus
36,68286.2,4428.61,3521.97,240220.07,45587.98,moderate,advanced,1,868773.97,capital_preservation
62,45851.91,1063.13,0.0,142510.69,41297.7,high,beginner,4,759594.72,capital_preservation
45,82949.88,3217.33,12940.19,366901.59,0.0,moderate,beginner,14,918825.0,income_focus
65,12000.0,950.0,0.0,0.0,37782.72,high,intermediate,24,1269217.33,capital_preservation
36,144767.05,8654.02,64530.98,104166.06,58722.26,moderate,beginner,26,1352020.49,income_focus
52,113797.13,6983.8,33022.15,161909.49,55079.85,moderate,beginner,7,1949728.42,income_focus
30,40400.22,3013.28,7926.05,101377.35,32548.82,low,advanced,24,2057621.5,capital_preservation
65,113088.29,4183.3,82238.55,226011.43,68100.8,moderate,beginner,24,1928412.77,income_focus
28,12000.0,950.0,0.0,187358.04,686.57,moderate,beginner,12,326880.27,capital_preservation
47,76157.57,4483.16,0.0,0.0,59603.99,moderate,beginner,24,10000.0,capital_preservation
